participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,7,chair,dog,leaf,flower,truck,hand,duck,bicycle,tree,7,1,2.7829,,0,0,0,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,7,hand,chair,dog,bicycle,truck,duck,tree,leaf,flower,8,0,3.8681,,0,1,1,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,3,dog,tree,flower,hand,chair,bicycle,duck,leaf,truck,8,0,1.8132,,0,2,2,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,3,flower,tree,hand,truck,leaf,bicycle,duck,chair,dog,3,1,2.0154,,0,3,3,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,2,tree,dog,chair,duck,leaf,hand,truck,flower,bicycle,2,1,1.1792,,0,4,4,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,pineapple,inanim_natural,9,train,cow,airplane,bread,car,corn,cat,dog,pineapple,9,1,4.0955,,pineapple,inanim_natural,1,line_drawing,0,0,0,8,1,,,,,,
5eb81d360943fe74d6aba62b,2025-08-20_15h25.30.412,GLINT,2024.2.4,Linux x86_64,59.88023952,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,4,butterfly,bread,cat,apple,binoculars,airplane,pineapple,dog,car,2,0,2.6657,,bread,inanim_natural,1,line_drawing,0,1,1,9,1,,,,,,
