participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,4,tree,bicycle,dog,hand,flower,chair,leaf,duck,truck,4,1,3.7567,,0,0,0,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,4,duck,hand,truck,tree,chair,bicycle,leaf,flower,dog,4,1,1.3202,,0,1,1,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,3,truck,leaf,duck,dog,bicycle,tree,flower,hand,chair,3,1,2.9631,,0,2,2,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,1,flower,dog,bicycle,duck,truck,leaf,tree,hand,chair,1,1,1.8668,,0,3,3,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,7,hand,chair,flower,duck,bicycle,tree,dog,leaf,truck,7,1,1.8837,,0,4,4,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,mushroom,inanim_natural,4,lawnmower,house,cow,mushroom,corn,snail,dog,pineapple,binoculars,4,1,1.1959,,mushroom,inanim_natural,1,natural,0,0,0,7,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,cow,anim_natural,4,corn,mushroom,dog,cow,house,binoculars,butterfly,lawnmower,apple,4,1,2.9992,1E-04,cow,anim_natural,1,natural,0,1,1,3,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,bread,inanim_natural,7,binoculars,dog,airplane,cow,corn,lawnmower,bread,bear,pineapple,7,1,2.6811,,bread,inanim_natural,1,natural,0,2,2,6,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,lawnmower,inanim_artificial,9,cat,bread,car,mushroom,pineapple,butterfly,train,cow,lawnmower,9,1,2.162,,lawnmower,inanim_artificial,1,natural,0,3,3,16,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,binoculars,inanim_artificial,4,corn,snail,apple,binoculars,bread,lawnmower,house,bear,butterfly,4,1,1.5603,,binoculars,inanim_artificial,1,natural,0,4,4,13,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,train,inanim_artificial,7,corn,dog,house,apple,airplane,cow,train,pineapple,bear,7,1,1.6914,,train,inanim_artificial,1,natural,0,5,5,17,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,avocado,inanim_natural,9,butterfly,cat,train,apple,lawnmower,house,bread,dog,avocado,9,1,2.079,,avocado,inanim_natural,1,natural,0,6,6,11,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,cat,anim_natural,1,cat,binoculars,apple,airplane,snail,pineapple,corn,cow,train,1,1,1.3079,,cat,anim_natural,1,natural,0,7,7,2,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,car,inanim_artificial,7,dog,bread,mushroom,binoculars,cat,pineapple,car,train,bear,7,1,2.29,,car,inanim_artificial,1,natural,0,8,8,14,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,dog,anim_natural,4,butterfly,bear,mushroom,dog,pineapple,bread,train,lawnmower,airplane,4,1,1.3077,,dog,anim_natural,1,natural,0,9,9,4,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,airplane,inanim_artificial,2,binoculars,airplane,avocado,dog,bread,cat,cow,apple,train,2,1,1.2351,,airplane,inanim_artificial,1,natural,0,10,10,12,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,6,car,mushroom,house,airplane,bear,apple,cow,snail,corn,6,1,3.5197,,apple,inanim_natural,1,natural,0,11,11,9,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,house,inanim_artificial,4,binoculars,bear,bread,house,lawnmower,avocado,cat,mushroom,snail,4,1,1.2626,,house,inanim_artificial,1,natural,0,12,12,15,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,snail,anim_natural,9,butterfly,pineapple,apple,bear,house,bread,train,airplane,snail,9,1,2.3229,,snail,anim_natural,1,natural,0,13,13,5,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,pineapple,inanim_natural,4,butterfly,mushroom,dog,pineapple,lawnmower,avocado,snail,house,binoculars,4,1,1.8474,,pineapple,inanim_natural,1,natural,0,14,14,8,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,butterfly,anim_natural,5,corn,bear,dog,house,butterfly,airplane,apple,pineapple,car,5,1,1.3014,,butterfly,anim_natural,1,natural,0,15,15,1,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,corn,inanim_natural,6,bread,lawnmower,snail,dog,airplane,corn,cow,pineapple,car,6,1,1.9781,,corn,inanim_natural,1,natural,0,16,16,10,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,bear,anim_natural,6,binoculars,bread,snail,cow,airplane,bear,mushroom,corn,house,6,1,2.6003,,bear,anim_natural,1,natural,0,17,17,0,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,snail,anim_natural,9,house,car,pineapple,airplane,dog,corn,avocado,butterfly,snail,8,0,2.9737,,butterfly,anim_natural,1,natural,1,0,18,5,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,airplane,inanim_artificial,3,dog,corn,airplane,bread,lawnmower,pineapple,cow,train,cat,3,1,2.2799,,airplane,inanim_artificial,1,natural,1,1,19,12,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,bear,anim_natural,5,cat,bread,airplane,apple,bear,house,dog,train,corn,5,1,1.5021,,bear,anim_natural,1,natural,1,2,20,0,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,cat,anim_natural,4,lawnmower,apple,cow,cat,avocado,corn,house,binoculars,snail,4,1,1.6764,,cat,anim_natural,1,natural,1,3,21,2,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,4,bear,snail,pineapple,apple,train,cat,binoculars,car,bread,4,1,2.0407,,apple,inanim_natural,1,natural,1,4,22,9,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,car,inanim_artificial,9,snail,cat,cow,corn,pineapple,avocado,binoculars,lawnmower,car,9,1,2.4762,,car,inanim_artificial,1,natural,1,5,23,14,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,train,inanim_artificial,1,train,bread,cow,corn,car,apple,airplane,dog,snail,1,1,1.3279,,train,inanim_artificial,1,natural,1,6,24,17,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,avocado,inanim_natural,4,butterfly,binoculars,airplane,avocado,bear,train,cow,mushroom,apple,4,1,1.2217,,avocado,inanim_natural,1,natural,1,7,25,11,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,dog,anim_natural,6,bread,binoculars,butterfly,avocado,cow,dog,mushroom,train,house,6,1,2.1293,,dog,anim_natural,1,natural,1,8,26,4,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,cow,anim_natural,6,cat,car,pineapple,bread,airplane,cow,binoculars,apple,butterfly,6,1,2.5018,,cow,anim_natural,1,natural,1,9,27,3,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,house,inanim_artificial,7,airplane,cow,mushroom,apple,snail,bread,house,cat,lawnmower,7,1,3.0693,,house,inanim_artificial,1,natural,1,10,28,15,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,pineapple,inanim_natural,1,pineapple,train,cow,bear,bread,corn,car,binoculars,butterfly,1,1,0.9336,,pineapple,inanim_natural,1,natural,1,11,29,8,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,bread,inanim_natural,6,butterfly,snail,apple,corn,dog,bread,house,airplane,train,6,1,2.1255,,bread,inanim_natural,1,natural,1,12,30,6,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,mushroom,inanim_natural,7,car,cat,lawnmower,bread,apple,dog,mushroom,binoculars,snail,7,1,2.397,,mushroom,inanim_natural,1,natural,1,13,31,7,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,binoculars,inanim_artificial,3,apple,avocado,binoculars,pineapple,house,snail,airplane,cat,cow,3,1,1.9362,,binoculars,inanim_artificial,1,natural,1,14,32,13,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,butterfly,anim_natural,5,car,snail,train,house,butterfly,avocado,bread,apple,cow,5,1,1.1961,,butterfly,anim_natural,1,natural,1,15,33,1,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,lawnmower,inanim_artificial,3,cow,airplane,lawnmower,mushroom,pineapple,apple,bear,snail,car,3,1,1.2338,,lawnmower,inanim_artificial,1,natural,1,16,34,16,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,corn,inanim_natural,2,cow,corn,train,snail,airplane,apple,cat,pineapple,lawnmower,2,1,0.8054,,corn,inanim_natural,1,natural,1,17,35,10,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,binoculars,inanim_artificial,6,train,bread,pineapple,snail,bear,binoculars,airplane,butterfly,mushroom,6,1,2.3719,,binoculars,inanim_artificial,1,natural,2,0,36,13,1,,,,,,
607668ac450fc6e3025a131d,2025-08-20_15h37.55.489,GLINT,2024.2.4,MacIntel,30.12048193,,,,,,,,,,,,,,,,,,,,train,inanim_artificial,5,avocado,mushroom,snail,cow,train,pineapple,binoculars,airplane,cat,5,1,1.7781,,train,inanim_artificial,1,natural,2,1,37,17,1,,,,,,
