participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,6,bicycle,tree,truck,chair,flower,duck,hand,leaf,dog,6,1,3.340799999,0.000400001,0,0,0,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,6,flower,truck,tree,bicycle,duck,dog,hand,leaf,chair,6,1,3.031,0.000400001,0,1,1,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,3,flower,duck,hand,dog,tree,truck,chair,bicycle,leaf,3,1,3.9528,0.0005,0,2,2,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,1,tree,duck,chair,bicycle,truck,leaf,dog,flower,hand,1,1,2.0167,0.0004,0,3,3,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,3,chair,truck,flower,leaf,duck,tree,hand,dog,bicycle,3,1,2.365099999,,0,4,4,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,cat,anim_natural,3,corn,train,cat,binoculars,apple,pineapple,butterfly,lawnmower,snail,3,1,1.8219,0.0002,cat,anim_natural,1,line_drawing,0,0,0,2,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,mushroom,inanim_natural,1,mushroom,car,bread,lawnmower,snail,cow,apple,train,butterfly,1,1,2.014400001,,mushroom,inanim_natural,1,line_drawing,0,1,1,7,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,car,inanim_artificial,9,snail,house,avocado,train,bread,bear,cow,apple,car,9,1,1.6195,,car,inanim_artificial,1,line_drawing,0,2,2,14,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,lawnmower,inanim_artificial,7,mushroom,airplane,dog,butterfly,house,bear,lawnmower,corn,apple,7,1,2.1763,0.0004,lawnmower,inanim_artificial,1,line_drawing,0,3,3,16,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,binoculars,inanim_artificial,2,dog,binoculars,lawnmower,avocado,snail,train,corn,apple,cow,8,0,1.0812,,apple,inanim_natural,0,line_drawing,0,4,4,13,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,butterfly,anim_natural,4,lawnmower,airplane,pineapple,butterfly,dog,train,corn,cow,avocado,5,0,3.1631,0.0004,dog,anim_natural,1,line_drawing,0,5,5,1,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,house,inanim_artificial,9,apple,pineapple,train,avocado,bear,butterfly,airplane,cow,house,9,1,2.2029,,house,inanim_artificial,1,line_drawing,0,6,6,15,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,bread,inanim_natural,8,binoculars,snail,pineapple,car,house,bear,corn,bread,butterfly,4,0,4.007200001,0.000299999,car,inanim_artificial,0,line_drawing,0,7,7,6,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,4,airplane,dog,cat,apple,train,bear,avocado,house,bread,2,0,4.605900001,,dog,anim_natural,0,line_drawing,0,8,8,9,1,,,,,,
62f6e81d42e7c4dea045f2fc,2025-08-21_11h37.21.055,GLINT,2024.2.4,Win32,7.10732054,,,,,,,,,,,,,,,,,,,,dog,anim_natural,1,dog,lawnmower,binoculars,train,bread,snail,avocado,corn,butterfly,5,0,3.271,0.0003,bread,inanim_natural,0,line_drawing,0,9,9,4,1,,,,,,
