participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,3,leaf,tree,duck,truck,hand,bicycle,dog,flower,chair,3,1,1.6921,,0,0,0,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,8,bicycle,chair,truck,duck,hand,tree,flower,dog,leaf,8,1,2.2806,,0,1,1,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,4,leaf,bicycle,dog,flower,hand,tree,truck,chair,duck,4,1,3.1182,,0,2,2,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,8,chair,bicycle,dog,truck,duck,leaf,tree,hand,flower,8,1,4.294,,0,3,3,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,5,duck,dog,truck,chair,tree,bicycle,hand,flower,leaf,9,0,3.3775,,0,4,4,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,snail,anim_natural,1,snail,apple,mushroom,bear,house,car,pineapple,airplane,butterfly,1,1,1.5795,,snail,anim_natural,1,natural,0,0,0,5,1,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,7,corn,cat,bread,cow,train,dog,apple,binoculars,car,7,1,2.4173,,apple,inanim_natural,1,natural,0,1,1,9,1,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,lawnmower,inanim_artificial,6,bread,dog,bear,binoculars,mushroom,lawnmower,avocado,butterfly,airplane,,0,,,no response,no response,0,natural,0,2,2,16,1,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,house,inanim_artificial,7,dog,airplane,avocado,pineapple,cow,corn,house,butterfly,binoculars,7,1,2.0464,,house,inanim_artificial,1,natural,0,3,3,15,1,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,corn,inanim_natural,1,corn,cat,house,snail,mushroom,cow,car,avocado,train,1,1,1.735,,corn,inanim_natural,1,natural,0,4,4,10,1,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,butterfly,anim_natural,8,cat,corn,apple,car,house,train,bread,butterfly,snail,8,1,1.6026,,butterfly,anim_natural,1,natural,0,5,5,1,1,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,bear,anim_natural,1,bear,house,lawnmower,bread,dog,apple,snail,binoculars,pineapple,1,1,2.0422,,bear,anim_natural,1,natural,0,6,6,0,1,,,,,,
65172c25c4118007d8a75184,2025-08-21_17h02.23.913,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,avocado,inanim_natural,6,bear,house,train,mushroom,cat,avocado,apple,airplane,cow,6,1,3.8423,,avocado,inanim_natural,1,natural,0,7,7,11,1,,,,,,
