participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,3,leaf,hand,duck,dog,tree,chair,flower,truck,bicycle,3,1,1.866,,0,0,0,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,7,flower,bicycle,leaf,chair,tree,duck,hand,truck,dog,7,1,3.2387,,0,1,1,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,1,flower,leaf,tree,bicycle,chair,truck,dog,duck,hand,1,1,4.1885,,0,2,2,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,1,dog,duck,chair,leaf,tree,truck,flower,bicycle,hand,1,1,1.4099,,0,3,3,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,2,hand,tree,leaf,duck,dog,truck,chair,flower,bicycle,2,1,1.5539,,0,4,4,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,mushroom,inanim_natural,7,bear,lawnmower,snail,house,bread,train,mushroom,avocado,cat,3,0,2.891,,snail,anim_natural,0,scrambled,0,0,0,7,1,,,,,,
66298b9925888b2e93c3d3de,2025-08-20_14h54.40.038,GLINT,2024.2.4,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,binoculars,inanim_artificial,9,bear,airplane,train,pineapple,bread,dog,corn,snail,binoculars,9,1,2.9175,,binoculars,inanim_artificial,1,scrambled,0,1,1,13,1,,,,,,
