participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,2,dog,duck,tree,hand,bicycle,chair,leaf,truck,flower,2,1,2.2439,,0,0,0,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,8,tree,leaf,flower,truck,dog,bicycle,duck,hand,chair,8,1,4.3741,,0,1,1,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,8,tree,chair,duck,bicycle,dog,leaf,hand,flower,truck,6,0,3.7642,,0,2,2,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,5,hand,chair,duck,bicycle,dog,leaf,truck,flower,tree,5,1,1.41,,0,3,3,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,1,tree,bicycle,hand,truck,chair,dog,duck,flower,leaf,1,1,4.1618,,0,4,4,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,cow,anim_natural,9,pineapple,house,airplane,cat,train,bread,dog,mushroom,cow,9,1,2.5845,,cow,anim_natural,1,natural,0,0,0,3,1,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,lawnmower,inanim_artificial,4,airplane,bear,pineapple,lawnmower,avocado,bread,butterfly,dog,train,4,1,2.9072,,lawnmower,inanim_artificial,1,natural,0,1,1,16,1,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,9,binoculars,bread,cow,lawnmower,pineapple,butterfly,bear,house,apple,9,1,2.2965,,apple,inanim_natural,1,natural,0,2,2,9,1,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,avocado,inanim_natural,7,lawnmower,corn,house,apple,binoculars,bear,avocado,cow,cat,7,1,1.852,,avocado,inanim_natural,1,natural,0,3,3,11,1,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,corn,inanim_natural,5,mushroom,butterfly,car,snail,corn,dog,lawnmower,avocado,airplane,5,1,1.0649,,corn,inanim_natural,1,natural,0,4,4,10,1,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,binoculars,inanim_artificial,8,butterfly,apple,dog,bread,corn,snail,house,binoculars,train,8,1,2.5064,,binoculars,inanim_artificial,1,natural,0,5,5,13,1,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,airplane,inanim_artificial,5,dog,bread,cow,train,airplane,house,apple,avocado,bear,5,1,2.2602,,airplane,inanim_artificial,1,natural,0,6,6,12,1,,,,,,
663eea8e72f4269ddd149eba,2025-08-20_16h24.59.635,GLINT,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,mushroom,inanim_natural,1,mushroom,house,cat,binoculars,butterfly,avocado,pineapple,airplane,bear,1,1,0.7998,,mushroom,inanim_natural,1,natural,0,7,7,7,1,,,,,,
