participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,3,hand,leaf,flower,tree,chair,truck,duck,bicycle,dog,2,0,2.7155,,0,0,0,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,5,duck,flower,truck,bicycle,hand,tree,dog,leaf,chair,5,1,1.8954,,0,1,1,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,5,bicycle,truck,tree,dog,duck,hand,flower,chair,leaf,5,1,1.6555,,0,2,2,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,6,flower,truck,bicycle,leaf,dog,tree,chair,duck,hand,2,0,6.8246,,0,3,3,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,4,chair,tree,bicycle,dog,leaf,duck,truck,hand,flower,4,1,1.7036,,0,4,4,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,bear,anim_natural,2,lawnmower,bear,cat,mushroom,pineapple,binoculars,butterfly,train,corn,2,1,4.2869,,bear,anim_natural,1,natural,0,0,0,0,1,,,,,,
66f87be972880bb2ac647855,2025-08-20_16h09.12.509,GLINT,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,1,apple,bread,car,butterfly,pineapple,train,bear,cow,lawnmower,1,1,2.2419,,apple,inanim_natural,1,natural,0,1,1,9,1,,,,,,
