participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,7,hand,duck,truck,flower,bicycle,tree,dog,chair,leaf,7,1,2.704,,0,0,0,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,4,leaf,tree,dog,duck,chair,truck,hand,bicycle,flower,4,1,1.5833,,0,1,1,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,9,flower,tree,dog,duck,truck,chair,leaf,bicycle,hand,8,0,6.8118,,0,2,2,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,3,bicycle,duck,flower,truck,tree,chair,dog,hand,leaf,9,0,2.7338,,0,3,3,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,7,duck,bicycle,chair,dog,hand,truck,tree,leaf,flower,7,1,1.5054,,0,4,4,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,car,inanim_artificial,8,bear,snail,corn,mushroom,binoculars,avocado,cat,car,lawnmower,8,1,2.2158,,car,inanim_artificial,1,scrambled,0,0,0,14,1,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,lawnmower,inanim_artificial,9,cow,airplane,house,avocado,butterfly,apple,pineapple,snail,lawnmower,9,1,2.5436,,lawnmower,inanim_artificial,1,scrambled,0,1,1,16,1,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,house,inanim_artificial,9,corn,bread,cow,train,dog,pineapple,lawnmower,bear,house,9,1,2.1868,,house,inanim_artificial,1,scrambled,0,2,2,15,1,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,avocado,inanim_natural,7,airplane,bear,bread,cat,butterfly,binoculars,avocado,apple,car,7,1,1.6722,,avocado,inanim_natural,1,scrambled,0,3,3,11,1,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,airplane,inanim_artificial,3,butterfly,train,airplane,cat,lawnmower,apple,corn,cow,pineapple,3,1,3.6994,,airplane,inanim_artificial,1,scrambled,0,4,4,12,1,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,dog,anim_natural,7,car,train,pineapple,butterfly,bear,mushroom,dog,binoculars,apple,7,1,2.1122,,dog,anim_natural,1,scrambled,0,5,5,4,1,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,train,inanim_artificial,3,cat,airplane,train,snail,binoculars,mushroom,dog,corn,bread,3,1,3.3196,,train,inanim_artificial,1,scrambled,0,6,6,17,1,,,,,,
673b1c300a415ab6d503a61d,2025-08-21_17h23.26.381,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,8,snail,avocado,house,binoculars,cow,bear,mushroom,apple,airplane,8,1,1.9642,,apple,inanim_natural,1,scrambled,0,7,7,9,1,,,,,,
