participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,6,chair,dog,truck,leaf,flower,duck,hand,bicycle,tree,6,1,4.0962,,0,0,0,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,4,truck,hand,leaf,flower,duck,tree,chair,bicycle,dog,4,1,2.208,,0,1,1,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,2,bicycle,hand,dog,leaf,truck,duck,tree,chair,flower,2,1,1.2389,,0,2,2,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,4,flower,duck,bicycle,dog,leaf,truck,chair,tree,hand,4,1,2.2048,,0,3,3,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,4,duck,bicycle,truck,tree,hand,dog,leaf,chair,flower,4,1,3.3959,,0,4,4,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,cat,anim_natural,1,cat,corn,binoculars,snail,mushroom,butterfly,train,avocado,car,1,1,3.8117,,cat,anim_natural,1,line_drawing,0,0,0,2,1,,,,,,
67ef9182644dae9ea4e3bb3d,2025-08-20_16h26.43.941,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,mushroom,inanim_natural,8,apple,butterfly,bread,car,cat,cow,train,mushroom,binoculars,4,0,2.4694,,car,inanim_artificial,0,line_drawing,0,1,1,7,1,,,,,,
