participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,9,duck,flower,tree,hand,chair,bicycle,leaf,truck,dog,9,1,2.8759,,0,0,0,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,8,truck,hand,chair,bicycle,leaf,dog,tree,duck,flower,8,1,4.2315,,0,1,1,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,7,bicycle,tree,dog,leaf,truck,duck,hand,flower,chair,7,1,6.3722,,0,2,2,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,6,chair,dog,truck,bicycle,flower,tree,leaf,duck,hand,6,1,2.8145,,0,3,3,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,9,chair,bicycle,leaf,tree,truck,duck,hand,dog,flower,9,1,5.0992,,0,4,4,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,train,inanim_artificial,9,mushroom,cat,airplane,lawnmower,avocado,bear,bread,dog,train,9,1,4.9221,,train,inanim_artificial,1,natural,0,0,0,17,1,,,,,,
{{Olivia}},2025-08-20_14h32.55.258,GLINT,2024.2.4,MacIntel,63.29113924,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,4,house,lawnmower,avocado,apple,cat,snail,train,cow,pineapple,4,1,3.5512,,apple,inanim_natural,1,natural,0,1,1,9,1,,,,,,
