participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,9,truck,hand,tree,flower,bicycle,dog,chair,leaf,duck,9,1,3.7496,,0,0,0,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,5,hand,chair,duck,leaf,flower,truck,bicycle,dog,tree,4,0,6.412,,0,1,1,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,9,flower,leaf,dog,truck,duck,chair,bicycle,tree,hand,9,1,7.44,,0,2,2,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,1,dog,tree,flower,bicycle,truck,leaf,duck,hand,chair,1,1,1.7487,,0,3,3,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,1,tree,hand,leaf,duck,truck,bicycle,dog,chair,flower,1,1,1.8722,,0,4,4,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,,,,,,,,,,,,,,,,,,,,cow,anim_natural,9,apple,avocado,binoculars,bread,house,butterfly,bear,lawnmower,cow,9,1,3.0953,,cow,anim_natural,1,natural,0,0,0,3,1,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,,,,,,,,,,,,,,,,,,,,lawnmower,inanim_artificial,4,avocado,pineapple,cow,lawnmower,car,airplane,butterfly,mushroom,snail,4,1,4.5188,,lawnmower,inanim_artificial,1,natural,0,1,1,16,1,,,,,,
{{Xinyi}},2025-08-20_14h20.02.477,GLINT,2024.2.4,MacIntel,64.1025641,,,,,,,,,,,,,,,,,,,,bear,anim_natural,1,bear,dog,mushroom,house,airplane,butterfly,bread,avocado,car,1,1,1.4929,,bear,anim_natural,1,natural,0,2,2,0,1,,,,,,
