participant,date,expName,psychopyVersion,OS,frameRate,CorrectResponse,prac_prompt_1,prac_prompt_2,prac_prompt_3,prac_prompt_4,prac_prompt_5,prac_prompt_6,prac_prompt_7,prac_prompt_8,prac_prompt_9,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,prac_loop.thisRepN,prac_loop.thisTrialN,prac_loop.thisN,prac_loop.thisIndex,prac_loop.ran,object_class,object_category,corr_ans,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_6,prompt_7,prompt_8,prompt_9,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,response_label,response_animacy,corr_animacy,img_condition,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,test_loop.ran,randomize_blocks.thisRepN,randomize_blocks.thisTrialN,randomize_blocks.thisN,randomize_blocks.thisIndex,randomize_blocks.ran,block_condition
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,8,flower,hand,leaf,dog,chair,truck,duck,tree,bicycle,3,0,5.2906,,0,0,0,4,1,tree,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,9,leaf,dog,truck,bicycle,tree,chair,duck,hand,flower,2,0,4.9005,,0,1,1,3,1,flower,inanim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,1,hand,duck,flower,tree,truck,chair,dog,leaf,bicycle,1,1,1.184,,0,2,2,0,1,hand,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,7,duck,truck,bicycle,hand,flower,tree,dog,leaf,chair,7,1,1.6993,,0,3,3,2,1,dog,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,7,tree,leaf,hand,dog,chair,truck,duck,flower,bicycle,7,1,1.9672,,0,4,4,1,1,duck,anim_natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,apple,inanim_natural,4,bread,house,bear,apple,butterfly,pineapple,snail,lawnmower,airplane,4,1,1.5785,,apple,inanim_natural,1,line_drawing,0,0,0,9,1,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,car,inanim_artificial,6,airplane,cat,apple,avocado,dog,car,pineapple,snail,train,6,1,2.4175,,car,inanim_artificial,1,line_drawing,0,1,1,14,1,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,train,inanim_artificial,4,dog,pineapple,snail,train,house,mushroom,cow,car,apple,4,1,2.8339,,train,inanim_artificial,1,line_drawing,0,2,2,17,1,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,mushroom,inanim_natural,6,pineapple,cow,train,house,snail,mushroom,avocado,butterfly,airplane,6,1,1.6673,,mushroom,inanim_natural,1,line_drawing,0,3,3,7,1,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,corn,inanim_natural,9,pineapple,car,dog,cow,cat,binoculars,lawnmower,apple,corn,9,1,2.1009,,corn,inanim_natural,1,line_drawing,0,4,4,10,1,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,airplane,inanim_artificial,8,cat,cow,lawnmower,car,butterfly,pineapple,bread,airplane,avocado,8,1,2.3664,,airplane,inanim_artificial,1,line_drawing,0,5,5,12,1,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,binoculars,inanim_artificial,7,airplane,car,pineapple,dog,corn,cat,binoculars,cow,mushroom,7,1,2.0004,,binoculars,inanim_artificial,1,line_drawing,0,6,6,13,1,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,house,inanim_artificial,8,mushroom,snail,lawnmower,cat,dog,avocado,car,house,pineapple,8,1,1.6,,house,inanim_artificial,1,line_drawing,0,7,7,15,1,,,,,,
vlad,2025-08-20_14h49.02.349,GLINT,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,avocado,inanim_natural,3,dog,butterfly,avocado,car,corn,cat,apple,train,binoculars,3,1,1.9961,,avocado,inanim_natural,1,line_drawing,0,8,8,11,1,,,,,,
